patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,381994237615,26/06/1954,0953007282,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Huyết áp cao,9.48,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,863972747539,27/08/1948,0941241777,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Khỏe mạnh,9.35,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Phúc Phú Đặng,583990156272,03/01/1964,0852235648,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Tiểu đường,6.41,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quý ông Bảo Lê,994500208956,18/07/1971,0736592031,johnmai@example.net,"6 Phạm Hẻm
JohnThành phố, 214975",Tiểu đường,7.14,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bác Tùng Nguyễn,648855636231,31/01/1951,0948963341,jane14@example.com,"4 John Khu
Quận JaneQuận, 665579",Huyết áp cao,6.63,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,972096948239,10/04/1968,0591003280,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,7.9,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,343556991859,10/05/1938,0378840245,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tim mạch,3.79,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,558051449104,12/11/1942,0565129512,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tiểu đường,8.97,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Chị Hồng Dương,789189376665,02/01/2001,0863125547,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Huyết áp cao,9.88,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,361979120042,13/10/1960,0758581520,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,4.47,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,707601326484,06/02/1949,0894208164,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Huyết áp cao,6.36,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,074931631346,25/12/2001,0563963589,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tiểu đường,10.39,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,735482866396,31/01/1964,0367847067,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tiểu đường,6.42,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,340388819652,07/10/1965,0920427386,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Khỏe mạnh,11.32,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,700977155608,21/08/1994,0806868146,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Khỏe mạnh,9.6,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,361492387079,08/08/1961,0306738971,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Tiểu đường,4.72,Anh Minh Dương,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Cô Hạnh Mai,592744152680,10/02/1981,0923075021,phamjane@example.org,"037 Jane Số
Thị xã JaneThị xã, 355836",Huyết áp cao,8.98,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,121787557751,04/01/1952,0772171903,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Huyết áp cao,4.17,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,926772057434,29/05/1967,0759831530,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Huyết áp cao,7.32,Quý cô Hồng Hoàng,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,648509779540,19/02/1976,0503841161,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Huyết áp cao,5.45,Nhật Xuân Dương,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Xuân Bùi,232213778723,08/03/1939,0962830128,buijohn@example.com,"53 Đặng Tổ
JaneThị xã, 364525",Huyết áp cao,10.17,Nhật Nguyễn,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Quang Quang Nguyễn,092995062082,19/09/1939,0314275345,johnnguyen@example.net,"19 Jane Khu
JohnXã, 736745",Tiểu đường,10.54,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,714248796989,18/07/1968,0777737597,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Khỏe mạnh,10.23,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,528499554040,18/04/2001,0806906032,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Huyết áp cao,8.76,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,059791164651,21/10/2005,0536009429,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Tiểu đường,10.85,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,182934307470,31/03/1997,0728412077,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Huyết áp cao,8.05,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,703991968338,03/04/1975,0599259288,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Khỏe mạnh,4.22,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,925561786547,13/08/1951,0328461931,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Tim mạch,11.31,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,066339800876,08/12/1939,0888805975,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Tiểu đường,7.41,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,134177567081,14/04/1999,0360349435,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Khỏe mạnh,10.61,Vi Vũ,22/04/2026
